Provinsi,KotaKab,TipeFaskes,NamaFaskes,AlamatFaskes,Latitude,Longitude
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,RSU Cut Nyak Dhien,Jl. Tm Bahrum No. 1 Langsa,4.488058,97.947963
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,RSU Cut Meutia Langsa,Jl.Garuda Kebun Baru Langsa,4.488088,97.947781
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,RSUD Langsa,Jln.A.Yani No. 1 Langsa,4.472208,97.975533
Nanggroe Aceh Darussalam,Kota Langsa,Rumah Sakit,RSU Ummi,Jln. Prof. A. Madjid Ibrahim,4.470376,97.991915
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,Langsa Lama,Gampong Meurandeh Dayah,4.478172,97.949988
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,Langsa Baro,Jl. Lilawangsa Langsa,4.474268,97.957391
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,Langsa Barat,Jl.Prof.A. Madjid Ibrahim,4.471487,97.989911
Nanggroe Aceh Darussalam,Kota Langsa,Puskesmas,Langsa Kota,Jl. H.Agussalim No.10 ,4.471071,97.974
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Utama,dr. Hj. Sri Hariaty,Jalan Panglima Polem No 64,4.468557,97.9621
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Utama,dr. Herman. I,"Medan-Banda Aceh, Dusun Makmur",4.522193,97.9386
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Polkes Im.09.02 Langsa,Jl. Cut Nyak Dien No. 21A,4.466214,97.983966
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Poliklinik Polres Langsa,Jl. Cut Nyak Dhien No. 5 ,4.463615,97.984589
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,BP Bina Husada,Jln. Pertanian Dusun Bahagia ,4.471103,97.9644
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,"Bp Dr. Syarbaini, Mkes",Jln. A. Yani No. 154 B,4.47479,97.96112
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Klinik Dokter Chik,Jalan Medan Banda Aceh,4.62782,97.98
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Bp Kita,Jalan Mesjid No 8,4.457848,97.971393
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Klinik Ummi,Jalan Sudirman No.12,4.473357,97.968972
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Klinik Cut Meutia,Jl. Kebun Baru,4.448084,97.964212
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Klinik Aa Sehat,"Jendral Sudirman, Dsn I",4.477337,97.971897
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,"BP dr. Syarifah Rina M, M.Kes","Jl. Agussalim, No. 20 ",4.466246,97.986681
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,Klinik Ramala,Jl. Lilawangsa No. 5 Langsa,4.465487,97.977981
Nanggroe Aceh Darussalam,Kota Langsa,Apotek,Apotek Anggrek,Jl. A Yani No.13 Langsa,4.469871,97.97
